,Recording timestamp,Gaze point X,Gaze point Y
747,7615,829,485
748,7625,829,483
749,7635,830,483
750,7645,830,485
751,7655,829,486
752,7665,828,486
753,7675,828,487
754,7685,827,486
755,7695,826,485
756,7705,825,483
757,7715,824,480
758,7725,824,480
759,7735,823,480
760,7745,821,477
761,7755,821,475
762,7765,821,472
763,7775,820,470
764,7785,821,467
765,7795,822,466
766,7805,822,464
767,7815,821,461
768,7825,821,457
769,7835,823,453
770,7845,825,449
771,7855,826,444
772,7865,827,443
773,7875,831,443
774,7885,834,443
775,7895,837,443
776,7905,839,442
777,7915,839,446
778,7925,841,450
779,7935,843,450
780,7945,845,451
781,7955,846,454
782,7965,847,456
783,7975,848,457
784,7985,849,457
785,7995,848,460
786,8005,847,465
787,8015,849,464
788,8025,849,463
789,8035,847,465
790,8045,844,471
791,8055,844,475
792,8065,843,476
793,8075,843,476
794,8085,842,476
795,8095,840,477
796,8105,838,477
797,8115,837,476
798,8125,836,474
799,8135,835,474
800,8145,833,474
801,8155,830,472
802,8165,829,468
803,8175,827,466
804,8185,825,464
805,8195,824,462
806,8205,824,459
807,8215,822,457
808,8225,819,455
809,8235,818,454
810,8245,817,452
811,8255,817,447
812,8265,817,445
813,8275,816,445
814,8285,815,443
815,8295,814,440
816,8305,814,438
817,8315,814,437
818,8325,816,434
819,8335,817,432
820,8345,819,429
821,8355,821,428
822,8365,821,428
823,8375,822,426
824,8385,825,426
825,8395,827,426
826,8405,828,426
827,8415,828,426
828,8425,828,429
829,8435,829,430
830,8445,830,431
831,8455,829,432
832,8465,829,433
833,8475,828,436
834,8485,828,436
835,8495,826,437
836,8505,825,441
837,8515,825,445
838,8525,825,446
839,8535,823,447
840,8545,822,452
841,8555,820,451
842,8565,817,450
847,8615,817,452
848,8625,815,455
849,8635,815,458
850,8645,814,457
851,8655,812,455
852,8665,811,456
853,8675,810,458
854,8685,809,456
855,8695,807,455
856,8705,805,454
857,8715,803,452
858,8725,802,451
859,8735,800,449
860,8745,800,447
861,8755,799,445
862,8765,798,442
863,8775,798,440
864,8785,800,439
865,8795,801,439
866,8805,803,438
867,8815,806,437
868,8825,808,437
869,8835,811,436
870,8845,813,435
871,8855,815,437
872,8865,816,440
873,8875,818,441
874,8885,821,442
875,8895,822,444
876,8905,822,446
877,8915,823,454
878,8925,822,465
879,8935,823,467
880,8945,825,470
881,8955,826,470
882,8965,827,469
883,8975,827,472
884,8985,825,477
885,8995,826,481
886,9005,826,483
887,9015,827,485
888,9025,827,485
889,9035,828,489
890,9045,828,494
891,9055,828,497
892,9065,828,500
893,9075,828,503
894,9085,829,506
895,9095,828,508
896,9105,828,510
897,9115,828,511
898,9125,827,512
899,9135,826,511
900,9145,824,509
901,9155,823,507
902,9165,822,505
903,9175,821,502
904,9185,819,501
905,9194,819,497
906,9204,818,491
907,9214,818,486
908,9224,818,483
909,9234,818,479
910,9244,818,475
911,9254,818,472
912,9264,820,470
913,9274,821,467
914,9284,822,462
915,9294,823,458
916,9304,823,458
917,9314,824,456
918,9324,827,453
919,9334,829,454
920,9344,831,456
921,9354,833,458
922,9364,833,462
923,9374,835,461
924,9384,838,458
925,9394,839,460
926,9404,841,461
927,9414,842,463
928,9424,843,465
929,9434,845,467
930,9444,845,466
931,9454,846,465
932,9464,847,464
933,9474,846,461
934,9484,845,455
935,9494,844,458
936,9504,842,463
937,9514,841,465
938,9524,840,466
939,9534,838,466
940,9544,836,467
941,9554,834,469
942,9564,832,469
943,9574,831,471
944,9584,830,473
945,9594,829,472
946,9604,829,470
947,9614,827,467
948,9624,825,466
949,9634,822,465
950,9644,821,465
951,9654,818,462
952,9664,816,459
953,9674,812,459
954,9684,808,458
955,9694,807,454
956,9704,806,449
957,9714,805,444
958,9724,805,439
959,9734,804,436
960,9744,804,432
961,9754,803,429
962,9764,804,425
967,9814,806,422
968,9824,811,421
969,9834,816,421
970,9844,820,421
971,9854,823,423
972,9864,825,423
973,9874,827,423
974,9884,830,424
975,9894,831,425
976,9904,833,427
977,9914,832,430
978,9924,832,431
979,9934,833,434
980,9944,833,438
981,9954,833,440
982,9964,833,441
983,9974,833,443
984,9984,833,445
985,9994,832,446
986,10004,832,448
987,10014,831,450
988,10024,830,450
989,10034,830,450
990,10044,830,449
991,10054,830,449
992,10064,830,450
995,10094,830,449
996,10104,829,448
997,10114,829,447
998,10124,828,446
999,10134,830,442
1000,10144,831,440
1001,10154,829,439
1002,10164,827,439
1005,10194,827,439
1006,10204,823,437
1007,10214,821,436
1008,10224,817,437
1009,10234,812,437
1010,10244,807,437
1011,10254,806,433
1012,10264,807,429
1013,10274,806,429
1014,10284,805,428
1015,10294,805,426
1016,10304,807,425
1017,10314,807,425
1018,10324,808,425
1019,10334,810,425
1020,10344,811,426
1021,10354,813,429
1022,10364,813,430
1023,10374,814,432
1024,10384,814,436
1025,10394,814,437
1026,10404,813,438
1027,10414,814,440
1028,10424,812,446
1029,10434,812,447
1030,10444,812,448
1031,10454,812,450
1032,10464,812,452
1035,10494,812,454
1036,10504,812,454
1037,10514,812,454
1038,10524,811,455
1039,10534,810,457
1040,10544,810,457
1041,10554,809,456
