Recording timestamp,Gaze point X,Gaze point Y
17010,807,485
17020,808,486
17030,807,487
17040,807,488
17050,808,488
17060,809,487
17070,809,489
17080,808,489
17090,808,487
17100,808,486
17110,808,485
17120,808,485
17130,809,485
17140,809,484
17150,809,484
17160,807,484
17170,809,479
17180,812,474
17190,810,474
17200,808,475
17210,806,475
17220,805,474
17230,804,474
17240,803,474
17250,802,474
17260,801,474
17270,799,475
17280,799,477
17290,798,477
17300,796,476
17310,794,477
17320,793,478
17330,792,477
17340,790,476
17350,789,476
17360,789,476
17370,789,476
17380,787,475
17390,787,475
17400,787,476
17410,787,476
17420,787,476
17430,787,476
17440,787,477
17450,787,478
17460,786,477
17470,786,477
17480,788,480
17490,789,480
17500,789,479
17510,789,479
17519,789,480
17529,790,482
17540,791,482
17550,792,483
17559,793,486
17569,795,487
17579,797,488
17589,799,488
17599,801,489
17609,802,490
17619,803,490
17629,803,491
17639,803,492
17649,804,492
17659,804,492
17669,804,493
17679,803,495
17689,801,496
17699,801,498
17709,801,499
17719,800,500
17729,800,501
17739,800,501
17749,799,502
17759,799,505
17769,798,505
17779,796,505
17789,796,505
17799,795,506
17809,793,504
17819,792,502
17829,792,499
17839,792,499
17849,792,497
17859,790,492
17869,790,490
17879,790,489
17889,789,486
17899,788,484
17909,789,482
17919,791,482
17929,791,481
17939,791,479
17949,792,478
17959,794,479
17969,794,480
17979,793,479
17989,794,478
17999,796,478
18009,795,479
18019,794,480
18029,794,481
18039,793,483
18049,792,483
18059,790,483
18069,790,483
18079,791,486
18089,792,487
18099,794,487
18109,794,488
18119,794,490
18129,795,491
18139,795,491
18149,795,492
18159,,
18169,,
18179,794,497
18189,794,496
18199,794,494
18209,792,494
18219,790,495
18229,790,494
18239,789,493
18249,787,494
18259,787,495
18269,786,496
18279,785,494
18289,784,494
18299,784,497
18309,785,499
18319,785,499
18329,785,501
18339,785,504
18349,785,506
18359,784,507
18369,784,509
18379,785,511
18389,785,512
18399,785,513
18409,785,514
18419,786,515
18429,787,516
18439,788,517
18449,789,518
18459,790,519
18469,791,520
18479,792,520
18489,793,521
18499,794,521
18509,794,520
18519,795,519
18529,795,518
18539,795,517
18549,795,515
18559,795,513
18569,794,511
18579,794,510
18589,794,508
18599,794,507
18609,793,506
18619,792,506
18629,792,504
18639,791,502
18649,791,500
18659,790,500
18669,790,499
18679,789,498
18689,789,498
18699,789,498
18709,788,497
18719,786,498
18729,783,500
18739,780,505
18749,780,506
18759,780,507
18769,779,508
18779,779,510
18789,779,511
18799,779,512
18809,778,514
18819,778,515
18829,779,515
18839,779,516
18849,778,517
18859,778,517
18869,778,515
18879,777,513
18889,778,515
18899,779,516
18909,779,516
18919,778,515
18929,778,516
18939,780,515
18949,780,513
18959,780,513
18969,781,513
18979,782,513
18989,781,510
18999,779,508
19009,779,509
19019,781,509
19029,781,509
19039,780,509
19049,780,511
19059,779,513
19069,778,514
19079,778,516
19089,778,518
19099,779,519
19109,778,520
19119,777,523
19129,776,524
19139,776,525
19149,776,525
19159,776,525
19169,776,526
19179,776,526
19188,776,527
19198,776,528
19208,776,527
19218,777,527
19228,778,527
19238,779,526
19248,780,526
19258,782,526
19268,783,526
19278,783,524
19288,782,525
19298,782,525
19308,783,524
19318,782,524
19328,782,523
19338,781,524
19348,780,524
19358,779,524
19368,778,525
19378,777,526
19388,,
19398,,
19408,777,524
19418,776,524
19428,775,524
19438,775,524
19448,774,523
19458,774,522
19468,774,520
19478,774,519
19488,775,518
19498,775,519
19508,775,519
19518,775,520
19528,775,520
19538,776,523
19548,776,525
19558,776,527
19568,775,530
19578,774,531
19588,774,531
19598,773,530
19608,773,529
19618,773,527
19628,773,524
19638,772,521
19648,772,517
19658,772,514
19668,772,509
19678,772,505
19688,772,501
19698,772,499
